#Pixel Wavelength_nm Field30 Field175 Field320 Field465 Field610
240.0000 1437.7651 1.0677 1.0637 1.0227 1.0340 1.0679
241.0000 1432.7500 1.0908 1.0695 1.0490 1.0889 1.0522
242.0000 1427.7347 1.1365 1.1419 1.0983 1.1394 1.1383
243.0000 1422.7194 1.1369 1.1311 1.0894 1.1188 1.1496
244.0000 1417.7038 1.1130 1.1077 1.0729 1.0968 1.1261
245.0000 1412.6882 1.1284 1.0980 1.0598 1.0857 1.0989
246.0000 1407.6724 1.1146 1.0911 1.0478 1.0712 1.0856
247.0000 1402.6565 1.1553 1.1281 1.0924 1.1198 1.1589
248.0000 1397.6404 1.1906 1.1889 1.1290 1.1432 1.1919
249.0000 1392.6242 1.1885 1.1898 1.1462 1.1497 1.1933
250.0000 1387.6079 1.1017 1.0983 1.0717 1.1078 1.1215
251.0000 1382.5915 1.0963 1.1019 1.0738 1.1121 1.1471
252.0000 1377.5749 -99999 -99999 -99999 -99999 -99999          
253.0000 1372.5583 1.1148 1.1186 1.0801 1.0960 1.1005
254.0000 1367.5414 1.1929 1.1848 1.1524 1.1908 1.1808
255.0000 1362.5245 1.1522 1.1433 1.1269 1.1386 1.1511
256.0000 1357.5074 -99999 -99999 -99999 -99999 -99999           
257.0000 1352.4902 1.1692 1.1684 1.1380 1.1721 1.1919
258.0000 1347.4729 1.0691 1.0813 1.0417 1.0969 1.0848
259.0000 1342.4555 1.0831 1.0921 1.0569 1.0982 1.0891
260.0000 1337.4379 1.0620 1.0617 1.0468 1.0769 1.0883
261.0000 1332.4202 1.0764 1.0884 1.0312 1.0558 1.0500
262.0000 1327.4024 1.0918 1.0900 1.0471 1.0743 1.0337
263.0000 1322.3845 1.1347 1.1211 1.0649 1.1022 1.1290
264.0000 1317.3664 1.1585 1.1408 1.0921 1.1244 1.1260
265.0000 1312.3483 1.1366 1.1321 1.1081 1.1366 1.1650
266.0000 1307.3300 1.2665 1.3244 1.2758 -99999 1.2502
267.0000 1302.3116 1.7281 1.8399 1.7943 -99999 -99999    
268.0000 1297.2930 1.0813 1.0860 -99999 -99999 1.4684
269.0000 1292.2744 1.0689 1.0839 1.0501 1.0648 1.1197
270.0000 1287.2556 1.1630 1.1876 1.1676 1.1476 1.1478
271.0000 1282.2367 1.1790 1.1827 1.1578 1.1896 1.2346
272.0000 1277.2177 1.1561 1.1973 1.1459 1.1686 1.2326
273.0000 1272.1986 1.1298 1.1255 1.1064 1.1222 1.0901
274.0000 1267.1794 1.1291 1.1249 1.0915 1.1290 1.1354
275.0000 1262.1600 1.1563 1.1611 1.1291 1.1551 1.1349
276.0000 1257.1405 1.1720 1.1694 1.1549 1.1692 1.1634
277.0000 1252.1210 1.1829 1.1828 1.1390 1.1717 1.1909
278.0000 1247.1013 1.1555 1.1600 1.1344 1.1624 1.1693
279.0000 1242.0814 1.1001 1.1087 1.0758 1.1143 1.0999
280.0000 1237.0615 1.0825 1.1075 1.0599 1.1140 1.0985
281.0000 1232.0415 1.0582 1.0698 1.0488 1.0685 1.1004
282.0000 1227.0214 1.0652 1.0705 1.0326 1.0477 1.0465
283.0000 1222.0011 1.0848 1.0934 1.0646 1.0690 1.0574
284.0000 1216.9807 1.1100 1.1211 1.0907 1.1131 1.1281
285.0000 1211.9603 1.1346 1.1554 1.1005 1.1326 1.1383
286.0000 1206.9397 1.1386 1.1369 1.1189 1.1393 1.1352
287.0000 1201.9190 1.1312 1.1426 1.1128 1.1336 1.1477
288.0000 1196.8982 1.1159 1.1469 1.1205 1.1400 1.1281
289.0000 1191.8773 1.1002 1.1352 1.0971 1.1211 1.1237
290.0000 1186.8563 1.1439 1.1433 1.1235 1.1437 1.1280
291.0000 1181.8352 1.1391 1.1431 1.1099 1.1427 1.1360
292.0000 1176.8140 1.1236 1.1525 1.1158 1.1307 1.1357
293.0000 1171.7927 1.1248 1.1268 1.0909 1.1308 1.1618
294.0000 1166.7713 1.1242 1.1273 1.1093 1.1366 1.1061
295.0000 1161.7497 1.1326 1.1308 1.1088 1.1535 1.1097
296.0000 1156.7281 1.1357 1.1576 1.1375 1.1413 1.1147
297.0000 1151.7064 1.1485 1.1627 1.1277 1.1572 1.1212
298.0000 1146.6846 1.1748 1.1882 1.1604 1.1786 1.1700
299.0000 1141.6627 1.1724 1.1787 1.1360 1.1984 1.1796
300.0000 1136.6407 -99999 1.1308 1.0991 1.1325 1.1201
301.0000 1131.6186 1.0717 1.0890 1.0641 1.1029 1.1235
302.0000 1126.5964 1.0655 1.0721 1.0607 1.0969 1.0540
303.0000 1121.5741 1.1313 1.1365 1.0989 1.1463 1.0915
304.0000 1116.5517 1.1520 1.1656 1.1322 1.1598 1.1475
305.0000 1111.5293 1.1585 1.1807 1.1514 1.1838 1.1579
306.0000 1106.5067 1.1409 1.1689 1.1320 1.1735 1.1448
307.0000 1101.4841 1.1376 1.1457 1.1192 1.1585 1.1430
308.0000 1096.4613 1.1346 1.1542 1.1330 1.1591 1.1246
309.0000 1091.4385 1.1516 1.1577 1.1303 1.1535 1.1444
310.0000 1086.4156 1.1558 1.1826 1.1431 1.1794 1.1590
311.0000 1081.3926 1.1334 1.1528 1.1341 1.1792 1.1658
312.0000 1076.3696 1.1536 1.1748 1.1320 1.1753 1.1666
313.0000 1071.3464 1.1402 1.1521 1.1272 1.1614 1.1536
314.0000 1066.3232 1.1395 1.1319 1.1140 1.1512 1.1400
315.0000 1061.2999 1.1642 1.1801 1.1594 1.1886 1.1656
316.0000 1056.2766 1.1761 1.1980 1.1668 1.2033 1.1799
317.0000 1051.2531 1.1914 1.1972 1.1795 1.2064 1.2080
318.0000 1046.2296 1.1782 1.2023 1.1827 1.2248 1.2096
319.0000 1041.2060 1.1556 1.1848 1.1610 1.2100 1.1832
320.0000 1036.1824 1.1105 1.1316 1.1168 1.1287 1.1441
321.0000 1031.1586 1.0758 1.1080 1.0828 1.0956 1.1160
322.0000 1026.1349 1.0830 1.1058 1.0789 1.1240 1.1443
323.0000 1021.1110 1.0898 1.0955 1.0765 1.1075 1.1261
324.0000 1016.0871 1.1149 1.1163 1.0969 1.1250 1.0598
325.0000 1011.0632 1.1498 1.1697 1.1161 1.1552 1.1247
326.0000 1006.0391 1.1648 1.1800 1.1478 1.1880 1.1711
327.0000 1001.0151 1.1571 1.1823 1.1570 1.1767 1.1819
328.0000 995.9909 1.1467 1.1573 1.1323 1.1709 1.1748
329.0000 990.9668 1.1336 1.1666 1.1280 1.1655 1.1506
330.0000 985.9425 1.1477 1.1647 1.1251 1.1799 1.1548
331.0000 980.9183 1.1607 1.1843 1.1539 1.2032 1.1790
332.0000 975.8940 1.1614 1.1858 1.1464 1.1808 1.1849
333.0000 970.8696 1.1615 1.1859 1.1561 1.1944 1.1606
334.0000 965.8452 1.1318 1.1631 1.1348 1.1744 1.1659
335.0000 960.8208 1.1317 1.1519 1.1361 1.1559 1.1563
336.0000 955.7963 1.1413 1.1561 1.1388 1.1667 1.1566
337.0000 950.7718 1.1541 1.1865 1.1644 1.1818 1.1737
338.0000 945.7473 1.1850 1.1949 1.1621 1.2127 1.1934
339.0000 940.7228 1.1967 1.2082 1.1811 1.2290 1.2169
340.0000 935.6982 1.1839 1.2229 1.1986 1.2331 1.2193
341.0000 930.6736 1.1649 1.1918 1.1768 1.2375 1.1856
342.0000 925.6490 1.1068 1.1309 1.1207 1.1149 1.1338
343.0000 920.6244 1.0913 1.1187 1.0950 1.1017 1.1097
344.0000 915.5998 1.0772 1.1109 1.0774 1.1232 1.1164
345.0000 910.5752 1.0801 1.1056 1.0663 1.0972 1.1060
346.0000 905.5505 1.1012 1.1318 1.0994 1.1302 1.0616
347.0000 900.5259 1.1387 1.1599 1.1215 1.1577 1.1162
348.0000 895.5013 1.1549 1.1809 1.1558 1.1935 1.1683
349.0000 890.4766 1.1334 1.1795 1.1641 1.1840 1.1565
350.0000 885.4520 1.1378 1.1669 1.1554 1.1963 1.1595
351.0000 880.4274 1.1260 1.1654 1.1448 1.1858 1.1606
352.0000 875.4028 1.1316 1.1682 1.1475 1.1787 1.1458
353.0000 870.3783 1.1526 1.1756 1.1642 1.1830 1.1528
354.0000 865.3538 1.1565 1.1925 1.1709 1.2061 1.1746
355.0000 860.3293 1.1412 1.1668 1.1697 1.1911 1.1639
356.0000 855.3048 1.1381 1.1899 1.1586 1.1849 1.1563
357.0000 850.2804 1.1295 1.1585 1.1524 1.1639 1.1402
358.0000 845.2560 1.1429 1.1766 1.1539 1.1833 1.1456
359.0000 840.2316 1.1394 1.1750 1.1646 1.1843 1.1454
360.0000 835.2073 1.1820 1.2179 1.1921 1.2088 1.1817
361.0000 830.1831 1.1781 1.2153 1.2077 1.2348 1.2036
362.0000 825.1589 1.1823 1.2046 1.1991 1.2267 1.1972
363.0000 820.1348 1.1604 1.2114 1.1854 1.2530 1.1745
364.0000 815.1108 1.1035 1.1428 1.1300 1.1330 1.1384
365.0000 810.0868 1.0916 1.1300 1.1187 1.1114 1.1136
366.0000 805.0629 1.0740 1.1089 1.0744 1.1198 1.1070
